congress,chamber,icpsr,district_code,state_abbrev,party_code,bioname,d1
91,House,11016,16,PA,R,"ESHLEMAN, Edwin Duing",1.336
91,House,11056,7,PA,R,"WILLIAMS, Lawrence Gordon",-0.075
91,House,11067,20,PA,D,"GAYDOS, Joseph Matthew",-0.448
91,House,12010,13,PA,R,"COUGHLIN, Robert Lawrence",-0.233
91,House,12035,6,PA,D,"YATRON, Gus",-0.24
91,House,10561,1,RI,D,"ST. GERMAIN, Fernand Joseph",-0.225
91,House,11061,2,RI,D,"TIERNAN, Robert Owens",-0.416
91,House,2672,3,SC,D,"DORN, William Jennings Bryan",3.342
91,House,6353,6,SC,D,"McMILLAN, John Lanneau",3.251
91,House,7925,1,SC,D,"RIVERS, Lucius Mendel",-0.273
91,House,10634,2,SC,R,"WATSON, Albert William",0.108
91,House,10728,5,SC,D,"GETTYS, Thomas Smithwick",0.21
91,House,12023,4,SC,D,"MANN, James Robert",-0.201
91,House,672,2,SD,R,"BERRY, Ellis Yarnal",-0.124
91,House,10548,1,SD,R,"REIFEL, Benjamin",-0.156
91,House,3034,4,TN,D,"EVINS, Joseph Landon",1.456
91,House,10571,3,TN,R,"BROCK, William Emerson, III",-0.053
91,House,10586,5,TN,D,"FULTON, Richard Harmon",-0.218
91,House,10616,1,TN,R,"QUILLEN, James Henry",-0.202
91,House,10701,6,TN,D,"ANDERSON, William Robert",-0.485
91,House,10719,2,TN,R,"DUNCAN, John James",1.348
91,House,11003,7,TN,D,"BLANTON, Leonard Ray",0.078
91,House,11025,9,TN,R,"KUYKENDALL, Dan Heflin",1.409
91,House,12038,8,TN,D,"JONES, Ed",-0.207
91,House,1077,9,TX,D,"BROOKS, Jack Bascom",-0.174
91,House,1282,17,TX,D,"BURLESON, Omar Truman",-0.108
91,House,1577,22,TX,D,"CASEY, Robert Randolph",-0.182
91,House,2700,2,TX,D,"DOWDY, John Vernard",-0.435
91,House,3171,21,TX,D,"FISHER, Ovie Clark",-0.145
91,House,5924,19,TX,D,"MAHON, George Herman",-0.17
91,House,7232,1,TX,D,"PATMAN, John William Wright",-0.039
91,House,7498,11,TX,D,"POAGE, William Robert",-0.171
91,House,9241,6,TX,D,"TEAGUE, Olin Earl",-0.253
91,House,10391,12,TX,D,"WRIGHT, James Claude, Jr.",-0.262
91,House,10446,14,TX,D,"YOUNG, John Andrew",-0.253
91,House,10520,20,TX,D,"GONZÁLEZ, Henry B.",-0.173
91,House,10546,13,TX,D,"PURCELL, Graham Boynton, Jr.",-0.178
91,House,10550,4,TX,D,"ROBERTS, Herbert Ray",-0.145
91,House,10614,10,TX,D,"PICKLE, James Jarrell (Jake)",-0.216
91,House,10707,5,TX,D,"CABELL, Earle",-0.144
91,House,10716,15,TX,D,"de la GARZA, Eligio, II (Kika)",-0.135
91,House,10783,16,TX,D,"WHITE, Richard Crawford",-0.274
91,House,11008,7,TX,R,"BUSH, George Herbert Walker",1.454
91,House,11013,8,TX,D,"ECKHARDT, Robert Christian",-0.165
91,House,11023,23,TX,D,"KAZEN, Abraham, Jr.",-0.143
91,House,11062,18,TX,R,"PRICE, Robert Dale",1.373
91,House,11066,3,TX,R,"COLLINS, James Mitchell",1.432
91,House,10576,1,UT,R,"BURTON, Laurence Junior",0.056
91,House,10600,2,UT,R,"LLOYD, Sherman Parkinson",-0.217
91,House,10562,1,VT,R,"STAFFORD, Robert Theodore",-0.168
91,House,2,4,VA,D,"ABBITT, Watkins Moorman",-0.176
